folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,macro_cluster,macro_cluster_prob,sub_cluster,full_label
elementdoped_data/odoped_002_data,cn,2.5489,0.996149,low,3.2954,0.2072,253.87,0.999919,high,0.011481,0.00574,1.0,high,2.7288,2.9361,2.245,2.4208,1.9208,2.4208,1.9208,0,0.9581031292464626,0,A.1
elementdoped_data/odoped_002_data,oxcn1,2.7019,0.998631,medium,3.1758,0.2695,266.09,0.995295,high,0.003696,0.001848,1.0,high,2.8764,3.1459,2.3141,2.6134,2.1134,2.6134,2.1134,0,0.9980957148656001,0,A.1
elementdoped_data/odoped_002_data,oxcn2,2.7086,0.996799,low,2.7564,0.2649,212.22,0.99996,high,0.020284,0.010142,1.0,high,2.9044,3.1693,2.3953,2.5607,2.0607,2.5607,2.0607,0,0.8466073270815819,0,A.1
elementdoped_data/odoped_002_data,oxcn3,2.7538,0.973569,low,2.7945,0.2762,264.64,0.998019,high,0.012982,0.006491,1.0,high,2.9155,3.1918,2.3675,2.564,2.064,2.564,2.064,0,0.9952986753456851,0,A.1
elementdoped_data/ptdoped_001_data,g-c3n4,2.2998,0.997351,medium,1.9695,0.2829,196.3,0.999742,high,0.019842,0.009921,1.0,high,2.8817,3.1646,1.9208,2.2107,1.7107,2.2107,1.7107,1,0.9888695994452282,0,B.1
elementdoped_data/ptdoped_001_data,pt-cn-a100,2.3554,0.994867,low,2.1517,0.3393,314.66,0.99966,high,0.073377,0.036688,1.0,high,2.7789,3.1182,1.9013,2.2522,1.7522,2.2522,1.7522,1,0.9999999999998961,0,B.1
elementdoped_data/ptdoped_001_data,pt-cn-a20,2.3364,0.994493,low,2.2066,0.2923,226.25,0.99979,high,0.026213,0.013107,1.0,high,2.7758,3.0681,1.9904,2.1477,1.6477,2.1477,1.6477,1,0.996755083135853,0,B.1
elementdoped_data/ptdoped_001_data,pt-cn-a200,2.1737,0.995595,low,1.8066,0.3169,394.5,0.999599,high,0.133297,0.066648,1.0,high,2.7931,3.11,1.9547,2.0846,1.5846,2.0846,1.5846,1,1.0,0,B.1
elementdoped_data/ptdoped_001_data,pt-cn-a50,2.353,0.995857,low,2.2253,0.2888,268.93,0.999863,high,0.035328,0.017664,1.0,high,2.7817,3.0705,1.9377,2.0652,1.5652,2.0652,1.5652,1,0.9998460386982878,0,B.1
elementdoped_data/sdoped_002_data,bulk-scn,2.7213,0.999108,high,9.0169,0.2003,111.39,0.999416,high,5.9e-05,2.7e-05,0.9267,high,2.8215,3.0218,2.4518,2.6225,2.1591,2.6225,2.1225,0,0.9998263910194806,1,A.2
elementdoped_data/sdoped_002_data,scnnss,2.9611,0.9975,medium,14.7823,0.1272,109.77,0.99914,high,1e-06,1e-06,1.0,high,3.0619,3.1891,2.5939,2.717,2.217,2.717,2.217,0,0.9999995124075419,1,A.2
ndefects_data/ndefects_002_data,02-p1-c3n4,2.5607,0.998493,medium,1.7888,0.2742,301.09,0.998692,high,0.140776,0.070388,1.0,high,3.1755,3.4498,2.3002,2.4627,1.9627,2.4627,1.9627,1,1.0,1,B.2
ndefects_data/ndefects_002_data,02-p2-c3n4,2.5563,0.997305,medium,1.7384,0.3246,305.86,0.998059,high,0.128788,0.064394,1.0,high,3.2103,3.5349,2.3031,2.4656,1.9656,2.4656,1.9656,1,1.0,1,B.2
ndefects_data/ndefects_002_data,08-p1-c3n4,2.6648,0.998177,medium,1.9717,0.394,344.31,0.999805,high,0.084156,0.042078,1.0,high,3.1383,3.5323,2.4038,2.5662,2.0662,2.5662,2.0662,1,0.9999999999999991,1,B.2
ndefects_data/ndefects_002_data,08-p2-c3n4,2.293,0.998085,medium,1.4565,0.3333,343.77,0.997948,high,0.138284,0.069142,1.0,high,3.2328,3.5661,2.04,2.2024,1.7024,2.2024,1.7024,1,1.0,0,B.1
ndefects_data/ndefects_002_data,32-p1-c3n4,2.6269,0.999355,high,1.9071,0.4192,348.87,0.99978,high,0.095912,0.047956,1.0,high,3.1407,3.5599,2.1053,2.5278,2.0278,2.5278,2.0278,1,1.0,1,B.2
ndefects_data/ndefects_002_data,c3n4,2.6548,0.994952,low,2.5141,0.2685,399.36,0.999534,high,0.11715,0.058575,1.0,high,3.082,3.3505,2.2588,2.4375,1.9375,2.4375,1.9375,1,1.0,1,B.2
ndefects_data/ndefects_002_data,g-c3n4,2.6786,0.997095,medium,2.0357,0.2833,363.8,0.999856,high,0.166227,0.083113,1.0,high,3.2397,3.523,2.2026,2.3651,1.8651,2.3651,1.8651,1,1.0,1,B.2
ndefects_data/ndefects_003_data,11nhpo-c3n4,2.4413,0.990938,low,2.4354,0.2103,133.18,0.998737,high,0.091085,0.038212,0.839,high,2.7745,2.9848,2.0601,2.194,1.7745,2.194,1.694,1,1.0,0,B.1
ndefects_data/ndefects_003_data,13nhpo-c3n4,2.4804,0.997023,medium,2.4522,0.1929,142.69,0.999039,high,0.087348,0.040645,0.9307,high,2.8274,3.0204,2.111,2.2444,1.7791,2.2444,1.7444,1,1.0,0,B.1
ndefects_data/ndefects_003_data,7nhpo-c3n4,2.4307,0.998477,medium,2.5316,0.1574,253.33,0.999095,high,0.078388,0.039194,1.0,high,2.7756,2.933,2.1814,2.3445,1.8445,2.3445,1.8445,1,0.9999999999999996,0,B.1
