folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,baseline_corrected,baseline_delta,baseline_known_Eg,baseline_calibrator
elementdoped_data/cdoped_002_data,g-cna02,2.5753,0.978025,low,2.6494,0.2954,540.26,0.996441,high,0.015431,0.007715,1.0000,high,2.8978,3.1932,2.0968,2.3794,1.8794,2.3794,1.8794,True,0.082946,2.7000,cdoped_002_abs_g-c3n4
elementdoped_data/cdoped_003_data,cn,2.5604,0.988739,low,2.6457,0.1899,119.72,0.995820,high,0.124650,0.037673,0.6045,medium,3.0077,3.1976,2.1886,2.3086,2.0064,2.3086,1.8086,False,0.000000,0.0000,
elementdoped_data/cdoped_003_data,tcn,2.5799,0.988742,low,2.5251,0.1604,165.31,0.995460,high,0.195964,0.070484,0.7194,medium,3.0502,3.2106,2.2409,2.3668,2.0071,2.3668,1.8668,False,0.000000,0.0000,
elementdoped_data/cdoped_003_data,ucn,2.6188,0.986549,low,2.7662,0.1850,323.80,0.993846,medium,0.141080,0.068505,0.9712,high,3.0158,3.2008,2.3684,2.4943,2.0087,2.4943,1.9943,False,0.000000,0.0000,
elementdoped_data/cdoped_004_data,cntcne-10,2.4472,0.996092,medium,2.4292,0.2629,318.04,0.999798,high,0.021945,0.010973,1.0000,high,2.8959,3.1588,2.2234,2.3632,1.8632,2.3632,1.8632,False,0.000000,0.0000,
elementdoped_data/cdoped_004_data,cntcne-120,1.8764,0.995805,medium,1.4640,0.3952,110.09,0.986229,medium,0.075305,0.018584,0.4936,low,2.7792,3.1743,1.6663,1.7935,1.5467,1.7935,1.2935,False,0.000000,0.0000,
elementdoped_data/cdoped_004_data,cntcne-20,2.3299,0.993260,medium,2.0370,0.3097,266.85,0.999805,high,0.032763,0.016381,1.0000,high,2.8738,3.1834,1.9694,2.1252,1.6252,2.1252,1.6252,False,0.000000,0.0000,
elementdoped_data/cdoped_004_data,cntcne-40,2.2271,0.995719,medium,1.8461,0.3346,313.20,0.999289,high,0.048182,0.024091,1.0000,high,2.8221,3.1567,1.9344,2.0616,1.5616,2.0616,1.5616,False,0.000000,0.0000,
elementdoped_data/cdoped_004_data,cntcne-60,2.0296,0.997126,high,1.6283,0.3470,228.71,0.996188,high,0.052744,0.020943,0.7941,medium,2.8344,3.1814,1.8171,1.9489,1.5519,1.9489,1.4489,False,0.000000,0.0000,
elementdoped_data/codoped_001_data,co,2.3742,0.987503,low,2.1480,0.3111,623.46,0.998013,high,0.050074,0.025037,1.0000,high,2.7282,3.0393,2.1153,2.2741,1.7741,2.2741,1.7741,False,0.000000,0.0000,
elementdoped_data/codoped_001_data,fe-co,2.4048,0.994875,medium,2.6000,0.2303,144.39,0.978290,low,0.063910,0.028928,0.9053,high,2.7500,2.9803,1.8927,2.0145,1.5619,2.0145,1.5145,False,0.000000,0.0000,
elementdoped_data/codoped_001_data,fe,2.3806,0.977066,low,2.2700,0.2722,111.08,0.982914,medium,0.065241,0.027575,0.8453,high,2.7228,2.9950,1.8508,1.9773,1.5547,1.9773,1.4773,False,0.000000,0.0000,
elementdoped_data/codoped_001_data,pure,2.3653,0.994936,medium,2.4076,0.2881,175.81,0.999866,high,0.047878,0.023939,1.0000,high,2.6941,2.9823,2.0395,2.2004,1.7004,2.2004,1.7004,False,0.000000,0.0000,
elementdoped_data/codoped_002_data,acn,2.1581,0.991152,medium,1.7570,0.4294,342.56,0.998605,high,0.158010,0.077677,0.9832,high,2.8512,3.2806,1.9227,2.0498,1.5582,2.0498,1.5498,False,0.000000,0.0000,
elementdoped_data/codoped_002_data,bcn,2.4126,0.991771,medium,2.5835,0.3321,279.93,0.999127,high,0.034174,0.017087,1.0000,high,2.7395,3.0716,1.9396,2.2822,1.7822,2.2822,1.7822,False,0.000000,0.0000,
elementdoped_data/cudoped_001_data,cu-cn-ar-6min,2.6874,0.998684,high,3.1458,0.2932,282.94,0.999490,high,0.013452,0.006726,1.0000,high,2.8582,3.1514,2.3188,2.6030,2.1030,2.6030,2.1030,False,0.000000,0.0000,
elementdoped_data/cudoped_001_data,cu-cn-co2-12min,2.8424,0.998512,high,4.0803,0.2505,110.81,0.998600,high,0.000009,0.000005,1.0000,high,2.9221,3.1726,2.3324,2.5338,2.0338,2.5338,2.0338,False,0.000000,0.0000,
elementdoped_data/cudoped_001_data,cu-cn-co2-6min,2.6700,0.996804,medium,3.5322,0.2746,208.99,0.997989,high,0.016546,0.008273,1.0000,high,2.8314,3.1060,2.2735,2.4748,1.9748,2.4748,1.9748,False,0.000000,0.0000,
elementdoped_data/cudoped_001_data,g-c3n4,2.6706,0.997782,high,3.0315,0.3056,233.67,0.999092,high,0.022484,0.011242,1.0000,high,2.8630,3.1686,2.1599,2.3613,1.8613,2.3613,1.8613,False,0.000000,0.0000,
elementdoped_data/fdoped_001_data,cns,1.9116,0.999322,high,1.6555,0.6060,307.45,0.999715,high,0.000072,0.000033,0.9355,high,2.2676,2.8737,1.5394,1.7677,1.3000,1.7677,1.2677,True,0.084565,2.3000,fdoped_001_abs_bcn
elementdoped_data/fdoped_001_data,et-cns,1.9962,0.998987,high,1.7866,0.5615,152.57,0.997872,high,0.000103,0.000043,0.8381,high,2.3055,2.8670,1.5822,1.7191,1.3000,1.7191,1.2191,True,0.084565,2.3000,fdoped_001_abs_bcn
elementdoped_data/fdoped_001_data,f-cns,2.0127,0.999552,high,1.7819,0.5645,221.39,0.992277,medium,0.000111,0.000056,1.0000,high,2.3096,2.8741,1.7725,1.9149,1.4149,1.9149,1.4149,True,0.084565,2.3000,fdoped_001_abs_bcn
elementdoped_data/idoped_001_data,cn,2.4550,0.995815,medium,2.7336,0.2573,303.49,0.999837,high,0.042795,0.021398,1.0000,high,2.8109,3.0682,1.9775,2.1409,1.6409,2.1409,1.6409,False,0.000000,0.0000,
elementdoped_data/idoped_001_data,cni10,2.1742,0.996036,medium,1.9668,0.3043,179.81,0.999434,high,0.052224,0.021874,0.8377,high,2.7568,3.0612,1.8560,1.9775,1.5586,1.9775,1.4775,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,0001la-doped-c3n4,2.6807,0.987655,low,32.1470,0.3047,154.36,0.999798,high,0.000118,0.000059,1.0000,high,2.7522,3.0569,2.2449,2.3927,1.8927,2.3927,1.8927,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,001la-doped-c3n4,2.6911,0.987990,low,36.4772,0.2767,156.75,0.999618,high,0.000552,0.000276,1.0000,high,2.8011,3.0778,2.3000,2.5733,2.0733,2.5733,2.0733,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,01la-doped-c3n4,2.6797,0.994539,medium,36.4661,0.2521,148.11,0.999977,high,0.000300,0.000150,1.0000,high,2.7828,3.0350,2.3005,2.4491,1.9491,2.4491,1.9491,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,05la-doped-c3n4,2.6575,0.998581,high,44.4851,0.1561,141.82,0.998842,high,0.004379,0.002190,1.0000,high,2.8182,2.9743,2.3121,2.4595,1.9595,2.4595,1.9595,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,1la-doped-c3n4,2.6908,0.996389,medium,39.4786,0.2042,153.18,0.999868,high,0.001629,0.000814,1.0000,high,2.8037,3.0079,2.3658,2.5703,2.0703,2.5703,2.0703,False,0.000000,0.0000,
elementdoped_data/ladoped_001_data,pure-c3n4,2.6723,0.983882,low,29.9600,0.3801,136.96,0.999880,high,0.000005,0.000002,0.9457,high,2.7181,3.0982,2.2369,2.3846,1.9118,2.3846,1.8846,False,0.000000,0.0000,
