folder,sample,E_g_eV,E_g_R2,E_g_conf,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end
ndefects_data/ndefects_002_data,08-p2-c3n4,2.2930,0.998085,medium,343.77,0.997948,high,0.069241,medium,3.2328,3.5661,2.0400,2.2024,1.5000,1.7930
ndefects_data/ndefects_002_data,32-p1-c3n4,2.6269,0.999355,high,348.87,0.999780,high,0.085150,high,3.1407,3.5599,2.1053,2.5278,1.6269,2.1269
ndefects_data/ndefects_002_data,c3n4,2.6548,0.994952,low,399.36,0.999534,high,0.101129,high,3.0820,3.3505,2.2588,2.4375,1.6548,2.1548
ndefects_data/ndefects_002_data,g-c3n4,2.6786,0.997095,medium,363.80,0.999856,high,0.162285,high,3.2397,3.5230,2.2026,2.3651,1.6786,2.1786
ndefects_data/ndefects_003_data,11nhpo-c3n4,2.4413,0.990938,low,133.18,0.998737,high,0.031255,high,2.7745,2.9848,2.0601,2.1940,1.5000,1.9413
ndefects_data/ndefects_003_data,13nhpo-c3n4,2.4804,0.997023,medium,142.69,0.999039,high,0.035570,high,2.8274,3.0204,2.1110,2.2444,1.5000,1.9804
ndefects_data/ndefects_003_data,7nhpo-c3n4,2.4307,0.998477,medium,253.33,0.999095,high,0.026244,medium,2.7756,2.9330,2.1814,2.3445,1.5000,1.9307
ndefects_data/ndefects_003_data,9nhpo-c3n4,2.4305,0.993166,low,87.56,0.999090,high,0.031448,high,2.7660,2.9696,1.9498,2.0804,1.5000,1.9305
ndefects_data/ndefects_003_data,c3n4,2.4324,0.998640,medium,195.67,0.999638,high,0.028613,medium,2.7869,2.9393,2.1998,2.3445,1.5000,1.9324
ndefects_data/ndefects_004_data,a-c3n4,2.5728,0.997983,medium,236.18,0.999867,high,0.002835,high,2.7975,3.0037,2.2602,2.4786,1.5728,2.0728
ndefects_data/ndefects_004_data,b-c3n4,2.0445,0.997742,medium,211.23,0.997800,high,0.000000,invalid,2.8240,3.1734,1.7597,1.9616,1.5000,1.5445
ndefects_data/ndefects_005_data,p-c3n4,2.8600,0.997765,medium,273.22,0.999137,high,0.007848,medium,3.0229,3.1618,2.3157,2.7316,1.8600,2.3600
ndefects_data/ndefects_005_data,pncn1-c3n4,1.9384,0.996441,low,178.83,0.994199,medium,0.000000,invalid,2.9088,3.0847,1.6330,1.8294,1.1384,1.4384
ndefects_data/ndefects_006_data,cn,2.4996,0.997100,medium,231.40,0.999879,high,0.001071,medium,2.8372,3.1209,2.1564,2.3471,1.5000,1.9996
ndefects_data/ndefects_006_data,ncn,2.4807,0.981214,low,379.72,0.996029,high,0.136956,medium,3.0323,3.2191,2.1937,2.3843,1.5000,1.9807
ndefects_data/ndefects_007_data,cn,2.7698,0.999277,high,215.18,0.999724,high,0.001495,high,2.9106,3.1818,2.2525,2.4601,1.7698,2.2698
ndefects_data/ndefects_007_data,cn10,2.7714,0.998306,medium,422.50,0.999932,high,0.001923,high,3.0047,3.1928,2.4724,2.6798,1.7714,2.2714
ndefects_data/ndefects_007_data,cn15,2.7246,0.998268,medium,426.41,0.999560,high,0.001239,high,2.9812,3.1708,2.4629,2.6358,1.7246,2.2246
ndefects_data/ndefects_007_data,cn5,2.7883,0.995740,low,314.76,0.999867,high,0.001343,high,2.9751,3.1598,2.4285,2.6360,1.7883,2.2883
ndefects_data/ndefects_008_data,g-c3n4-001,2.4658,0.992691,low,184.72,0.997697,high,0.050704,high,2.7923,3.0486,2.1907,2.3315,1.5000,1.9658
